일자,단위농협,참외물량,상품가격,중품가격
2018-01-25,9,125,90000,71000
2018-02-28,1,3484,67000,46000
2018-02-28,3,787,62000,46000
2018-02-28,8,36,54000,40000
2018-02-28,6,232,55000,48000
2018-02-28,9,3700,64000,46000
2018-02-28,4,1624,67000,47000
2018-03-31,8,45,145000,53000
2018-04-30,1,18089,67000,39000
2018-04-30,3,5820,63000,40000
2018-04-30,8,218,78000,39000
2018-04-30,6,1245,51000,39000
2018-04-30,9,17719,64000,37000
2018-04-30,4,10503,66000,42000
2018-05-31,4,9113,57000,27000
2018-05-31,6,1164,42000,28000
2018-05-31,9,16968,53000,25000
2018-05-31,1,17533,62000,26000
2018-05-31,3,4655,48000,28000
2018-05-31,8,236,119000,21000
2018-06-30,8,441,46000,9000
2018-07-31,4,1573,45000,20000
2018-07-31,6,80,35000,28000
2018-07-31,3,794,40000,30000
2018-07-31,1,2978,50000,19000
2018-07-31,8,55,58000,25000
2018-07-31,9,3080,42000,19000
2018-08-31,9,4551,35000,13000
2018-08-31,6,105,15000,11000
2018-08-31,3,1114,23000,13000
2018-08-31,1,3414,39000,12000
2018-08-31,4,2653,26000,12000
2018-08-31,8,55,40000,10000
2018-09-30,1,573,45000,15000
2018-09-30,3,49,40000,17000
2018-09-30,9,736,43000,21000
2018-09-30,4,370,37000,17000
2018-10-30,9,71,6000,4000
2018-11-07,9,27,20000,11000
2019-01-31,9,168,100000,92000
2019-01-31,1,40,100000,96000
2019-02-28,6,747,61000,52000
2019-02-28,3,1951,75000,47000
2019-02-28,8,41,118000,46000
2019-02-28,4,2720,78000,56000
2019-02-28,9,7454,75000,53000
2019-02-28,1,6729,75000,52000
2019-03-31,1,11412,74000,45000
2019-03-31,3,4467,64000,46000
2019-03-31,9,10911,70000,46000
2019-03-31,6,512,59000,43000
2019-03-31,4,6130,74000,49000
2019-04-30,6,916,50000,39000
2019-04-30,9,15221,62000,39000
2019-04-30,3,6113,52000,34000
2019-04-30,4,8995,74000,42000
2019-04-30,1,15739,64000,38000
2019-04-30,8,196,77000,34000
2019-05-31,6,1307,38000,27000
2019-05-31,3,6203,47000,27000
2019-05-31,9,23381,51000,25000
2019-05-31,4,10832,48000,30000
2019-05-31,8,232,55000,26000
2019-05-31,1,23938,55000,26000
2019-06-30,4,13705,40000,12000
2019-06-30,1,11747,73000,34000
2019-06-30,3,7090,29000,13000
2019-06-30,9,24740,35000,11000
2019-06-30,6,813,23000,12000
2019-07-31,3,3356,45000,15000
2019-07-31,9,7025,38000,13000
2019-07-31,1,6507,52000,13000
2019-07-31,4,5345,46000,12000
2019-07-31,8,96,46000,14000
2019-07-31,6,310,38000,17000
2019-08-31,8,43,50000,14000
2019-09-30,4,264,29000,14000
2019-09-30,1,332,33000,12000
2019-09-30,9,680,36000,15000
2019-09-30,8,9,41000,15000
2019-10-26,8,1,42000,20000
2019-11-02,8,1,55000,18000
2020-01-31,1,173,135000,104000
2020-01-31,9,516,130000,84000
2020-02-29,8,43,97000,57000
2020-03-31,6,676,80000,60000
2020-03-31,3,3452,74000,53000
2020-03-31,4,3688,74000,57000
2020-03-31,8,4500,85000,54000
2020-03-31,9,6472,88000,54000
2020-03-31,1,6962,93000,54000
2020-04-30,1,25526,62000,34000
2020-04-30,3,8977,53000,32000
2020-04-30,9,22662,62000,33000
2020-04-30,6,4583,54000,37000
2020-04-30,8,29800,80000,36000
2020-04-30,4,13142,66000,36000
2020-05-31,4,6696,63000,37000
2020-05-31,3,5092,65000,37000
2020-05-31,9,11170,70000,34000
2020-05-31,6,2157,54000,36000
2020-05-31,1,11747,73000,34000
2020-06-30,6,2717,23000,12000
2020-06-30,3,7027,25000,10000
2020-06-30,1,19022,33000,10000
2020-06-30,9,20325,37000,10000
2020-06-30,8,32300,62000,12000
2020-06-30,4,11367,37000,11000
2020-07-30,8,13600,70000,16000
2020-07-30,1,6273,50000,15000
2020-07-30,6,1332,38000,18000
2020-07-30,4,5156,52000,16000
2020-07-30,3,2695,35000,14000
2020-07-30,9,6666,42000,13000
